frame,tracker_id,class_id,class_name,x_center,y_center,width,height,confidence,team,color,color_score,vx,vy,speed,direction,direction_change
0,-1,0,robot,438.0786743164063,1111.723388671875,282.7250671386719,330.2799072265625,0.9564744830131532,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,0,robot,829.8822631835938,569.1840209960938,93.0626220703125,139.12057495117188,0.9304865598678588,unknown,unknown,0.0,391.80358886718744,-542.5393676757812,669.2226966617649,-0.9453481110026476,0.9453481110026476
0,-1,0,robot,1213.648193359375,665.8585815429688,144.0166015625,201.0111083984375,0.9135820269584656,unknown,unknown,0.0,383.76593017578125,96.674560546875,395.7553029595611,0.24677570919050157,1.1921238201931492
0,-1,0,robot,149.58192443847656,799.1964721679688,184.18212890625,200.2152099609375,0.8739579916000366,unknown,unknown,0.0,-1064.0662689208984,133.337890625,1072.387997756207,3.016932674513481,2.7701569653229794
0,-1,1,ball,724.1344604492188,790.9140625,22.791748046875,25.57763671875,0.8870062828063965,unknown,unknown,0.0,574.5525360107422,-8.28240966796875,574.6122300702303,-0.014414410370566384,3.031347084884047
1,0,0,robot,433.9680786132813,1111.6180419921875,282.8272399902344,329.6039428710937,0.9603641629219056,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,robot,829.9095458984375,568.8162841796875,93.42645263671876,139.3934326171875,0.9291394948959352,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,robot,1213.6279296875,665.11962890625,144.00732421875,202.0963134765625,0.9266391396522522,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,robot,146.59713745117188,801.5186767578125,187.391342163086,201.9488525390625,0.9057093262672424,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,ball,723.8978271484375,790.8075561523438,22.81903076171875,25.817626953125,0.8873057961463928,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,robot,430.7234802246094,1111.6068115234375,279.28485107421875,331.968505859375,0.9551104307174684,unknown,unknown,0.0,-3.244598388671932,-0.01123046875,3.244617824521224,-3.1381313857975246,3.1381313857975246
2,1,0,robot,829.700439453125,568.9767456054688,93.63604736328124,137.14901733398438,0.9260099530220032,unknown,unknown,0.0,-0.2091064453125,0.16046142578125,0.26357802380885464,2.4870688797513614,2.4870688797513614
2,2,0,robot,1213.9248046875,665.0322875976562,142.83984375,202.6522216796875,0.9315643310546876,unknown,unknown,0.0,0.296875,-0.08734130859375,0.3094564101967653,-0.2861293554110488,0.2861293554110488
2,3,0,robot,144.4727020263672,805.469482421875,182.29510498046875,202.7666015625,0.9300647974014282,unknown,unknown,0.0,-2.1244354248046875,3.9508056640625,4.485765405073409,2.0641642660107267,2.0641642660107267
2,4,1,ball,723.7332763671875,791.0343627929688,23.1329345703125,25.4866943359375,0.8840729594230652,unknown,unknown,0.0,-0.16455078125,0.226806640625,0.2802110130626262,2.198439580603636,2.198439580603636
3,0,0,robot,425.812744140625,1111.5908203125,279.00927734375,331.956298828125,0.9474748373031616,unknown,unknown,0.0,-4.910736083984375,-0.0159912109375,4.910762120625824,-3.1383362875092704,0.0002049017117458085
3,1,0,robot,829.486572265625,568.084716796875,91.91119384765624,136.8282470703125,0.9239535927772522,unknown,unknown,0.0,-0.2138671875,-0.89202880859375,0.9173083283445895,-1.806108387662519,1.9900080397657058
3,2,0,robot,1213.68408203125,666.1990966796875,142.6710205078125,200.228271484375,0.9236000776290894,unknown,unknown,0.0,-0.24072265625,1.16680908203125,1.1913818997880838,1.7742503482216612,2.06037970363271
3,3,0,robot,141.55479431152344,808.744140625,182.8653564453125,201.82647705078125,0.916395366191864,unknown,unknown,0.0,-2.91790771484375,3.274658203125,4.38606563786254,2.298648618303215,0.2344843522924882
3,4,1,ball,723.4117431640625,790.8828125,23.09918212890625,25.85205078125,0.8812561631202698,unknown,unknown,0.0,-0.321533203125,-0.15155029296875,0.35545898780412977,-2.701137751347751,1.3836079752282
